SKU,Format,Color,Diecut,Refinement
KAM11GG,F040,C05,D01,
KAM11GG,F040,C05,D02,
KAM11GG,F060,C05,,
KAM12GG,F020,C13,D00,
KAM12GG,F020,C13,D01,
KAM12GG,F020,C13,D02,
KAM12GG,F040,C13,D00,
KAM12GG,F040,C13,D01,
KAM12GG,F040,C13,D02,
KAM12GG,F060,C13,,
TEO06FT,F040,C04,,
TEO06FT,F150,C04,,
TEO07FT,F020,C05,,
TEO07FT,F040,C05,,
LIG06FT,F030,C04,,
LIG06FT,F150,C04,,
LIG07FT,F040,C14,,
LIG07FT,F150,C14,,
MEH06FT,F040,C03,,
MEH06FT,F150,C03,,
LIG08KE,F040,C12,,
LIG08KE,F162,C12,,
LIG08KD,F020,C12,,
LIG08KD,F040,C12,,
LIG07KD,F020,C05,,
LIG07KD,F151,C05,,
LIG07KE,F040,C05,,
LIG07KE,F151,C05,,
LIG06KE,F030,C08,,
LIG06KE,F151,C08,,
LIG06KD,F010,C16,,
LIG06KD,F030,C16,,
MEH06KD,F010,C06,,
MEH06KD,F040,C06,,
MEH06KE,F040,C18,,
MEH06KE,F062,C18,,
TEO06KE,F040,C11,,
TEO06KE,F151,C11,,
TEO06KD,F020,C11,,
TEO06KD,F040,C11,,
TEO07KD,F020,C11,,
TEO07KD,F040,C11,,
TEO07KE,F020,C11,,
TEO07KE,F040,C11,,
TEO08KE,F030,C16,,
TEO08KE,F040,C16,,
TEO08KD,F010,C11,,
TEO08KD,F040,C11,,
FRM11FT,F040,C08,,
FRM11FT,F150,C08,,
FRM12KE,F030,C16,,
FRM12KE,F151,C16,,
FRM12KD,F020,C05,,
FRM12KD,F040,C05,,
LIG04HT,F230,C08,,
LIG05HT,F230,C12,,
MEH04HT,F230,C09,,
MEH05HT,F230,C12,,
TEO03HT,F230,C06,,
TEO04HT,F230,C08,,
TEO05HT,F230,C02,,
MEG01KD,F030,C05,,
CHF02KD,F010,C03,,
LIG02KD,F030,C18,,
KAM11KD,F020,C05,,
KAM11KD,F040,C05,,
LIG10HS,F020,C06,D00,
LIG10HS,F020,C06,D01,
LIG10HS,F020,C06,D02,
LIG10HE,F040,C06,,V00
LIG10HE,F040,C06,,V01
LIG10HE,F060,C06,,V00
LIG10HE,F060,C06,,V01
LIG10HE,F101,C06,,V00
LIG10HE,F101,C06,,V01
LIG10HE,F280,C06,D51,
LIG10HE,F290,C06,D52,
LIG10HD,F040,C06,,
LIG10HD,F060,C06,,
LIG10HK,F071,C06,,
LIG10HK,F221,C06,,
LIG10HM,F220,C06,,
TEO09HS,F020,C01,D00,
TEO09HS,F020,C01,D01,
TEO09HS,F020,C01,D02,
TEO09HE,F040,C01,,V00
TEO09HE,F040,C01,,V01
TEO09HE,F061,C01,,V00
TEO09HE,F061,C01,,V01
TEO09HE,F200,C01,,V00
TEO09HE,F200,C01,,V01
TEO09HE,F290,C01,D52,
TEO09HD,F040,C01,,
TEO09HD,F060,C01,,
TEO09HK,F221,C18,,
TEO09HM,F220,C18,,
FRM10HS,F140,C13,,
FRM10HE,F040,C21,,V00
FRM10HE,F040,C21,,V01
FRM10HE,F151,C21,,V00
FRM10HE,F151,C21,,V01
FRM10HE,F290,C21,D52,
FRM10HD,F040,C13,,
FRM10HD,F151,C13,,
FRM10HK,F221,C13,,
FRM10HM,F220,C13,,
CLG05HS,F020,C12,D00,
CLG05HS,F020,C12,D01,
CLG05HS,F020,C12,D02,
CLG05HE,F040,C22,,
CLG05HE,F101,C22,,
CLG05HE,F151,C22,,
CLG05HD,F040,C05,,
CLG05HD,F151,C05,,
CLG05HK,F221,C05,,
CLG05HM,F220,C05,,
CHF03HS,F010,C12,,
CHF03HE,F030,C02,,
CHF03HE,F050,C02,,
CHF03HD,F030,C12,,
CHF03HD,F050,C12,,
CHF03HK,F221,C12,,
CHF03HM,F220,C12,,
FRM09HS,F020,C09,D00,
FRM09HS,F020,C09,D01,
FRM09HS,F020,C09,D02,
FRM09HE,F040,C09,,
FRM09HE,F061,C09,,
FRM09HE,F280,C09,D51,
FRM09HD,F040,C23,,
FRM09HD,F060,C23,,
FRM09HK,F221,C09,,
FRM09HM,F071,C05,,
FRM09HM,F220,C05,,
FRM08HS,F010,C08,,
FRM08HE,F040,C05,,
FRM08HE,F062,C05,,
FRM08HE,F101,C05,,
FRM08HE,F280,C05,D51,
FRM08HD,F030,C08,,
FRM08HD,F060,C08,,
FRM08HK,F221,C08,,
FRM08HM,F220,C08,,
MEG05HS,F010,C01,,
MEG05HE,F030,C01,,
MEG05HE,F151,C01,,
MEG05HD,F030,C01,,
MEG05HD,F050,C01,,
MEG05HK,F221,C01,,
MEG05HM,F220,C01,,
MEG04HS,F020,C03,D00,
MEG04HS,F020,C03,D01,
MEG04HS,F020,C03,D02,
MEG04HE,F030,C13,,
MEG04HE,F050,C13,,
MEG04HD,F040,C03,,
MEG04HD,F060,C03,,
MEG04HK,F221,C03,,
MEG04HM,F220,C03,,
TEO12GG,F040,C14,D00,
TEO12GG,F040,C14,D01,
TEO12GG,F040,C14,D02,
